City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Saskylakh,RU,2022-09-07 04:00:54,light rain,71.9167,114.0833,44.06,79,100,5.39
159,Sur,OM,2022-09-07 03:58:40,clear sky,22.5667,59.5289,85.57,61,2,5.77
160,Port Hardy,CA,2022-09-07 04:00:55,overcast clouds,50.6996,-127.4199,58.73,77,100,2.51
161,Hengshui,CN,2022-09-07 04:00:34,clear sky,37.7322,115.7011,85.3,27,0,2.33
162,Ierapetra,GR,2022-09-07 04:00:56,clear sky,35.01,25.7353,74.14,60,1,11.99
163,La Ronge,CA,2022-09-07 04:00:56,broken clouds,55.1001,-105.2842,55.9,52,52,7.72
164,Tual,ID,2022-09-07 04:00:56,overcast clouds,-5.6667,132.75,80.28,81,88,11.21
165,Yumen,CN,2022-09-07 04:00:57,broken clouds,40.2833,97.2,80.44,10,52,3.89
166,Rio Grande,BR,2022-09-07 04:00:57,overcast clouds,-32.035,-52.0986,57.94,96,100,7.99
167,Yulara,AU,2022-09-07 04:00:57,clear sky,-25.2406,130.9889,73.76,22,1,22.97
168,Kilindoni,TZ,2022-09-07 04:00:58,clear sky,-7.9139,39.6668,74.8,77,7,12.39
169,Rio Verde De Mato Grosso,BR,2022-09-07 04:00:58,clear sky,-18.9181,-54.8442,76.42,40,4,3.78
170,Ust-Kulom,RU,2022-09-07 04:00:59,overcast clouds,61.6864,53.6902,43.47,95,100,4.07
171,Dunkirk,FR,2022-09-07 03:57:53,broken clouds,51.05,2.3667,59.14,95,58,10.54
172,Penzance,GB,2022-09-07 04:00:59,broken clouds,50.1186,-5.5371,63.28,89,71,19.13
173,Esperance,AU,2022-09-07 03:57:35,light rain,-33.8667,121.9,57.04,85,100,25.21
174,Nikolskoye,RU,2022-09-07 04:01:00,overcast clouds,59.7035,30.7861,48.78,97,85,6.71
175,Bilma,NE,2022-09-07 04:01:00,clear sky,18.6853,12.9164,89.15,19,5,11.68
176,High Rock,BS,2022-09-07 04:01:01,clear sky,26.6208,-78.2833,84.33,70,2,5.66
177,Surgut,RU,2022-09-07 04:01:01,clear sky,61.25,73.4167,44.78,93,0,8.99
178,Upernavik,GL,2022-09-07 04:01:01,overcast clouds,72.7868,-56.1549,38.32,96,99,12.3
179,Kununurra,AU,2022-09-07 04:01:02,scattered clouds,-15.7667,128.7333,96.78,24,40,11.5
180,Alihe,CN,2022-09-07 04:01:03,few clouds,50.5667,123.7167,67.05,33,18,13.67
181,Barentu,ER,2022-09-07 04:01:04,broken clouds,15.1139,37.5928,70.5,87,66,5.17
182,Muncar,ID,2022-09-07 04:01:06,overcast clouds,-8.4333,114.3333,81.9,76,88,7.92
183,Tigil,RU,2022-09-07 04:01:07,overcast clouds,57.8,158.6667,63.88,57,98,6.04
184,Naze,JP,2022-09-07 03:58:37,broken clouds,28.3667,129.4833,83.32,65,74,12.03
185,Biu,NG,2022-09-07 04:01:07,light rain,10.6129,12.1946,66.43,96,100,3.2
186,Lagoa,PT,2022-09-07 04:01:08,overcast clouds,39.05,-27.9833,75.04,86,87,16.51
187,Tuktoyaktuk,CA,2022-09-07 04:02:08,overcast clouds,69.4541,-133.0374,35.73,80,86,10.65
188,Ulaangom,MN,2022-09-07 04:02:08,clear sky,49.9811,92.0667,77.61,20,5,3.13
189,East London,ZA,2022-09-07 04:00:33,clear sky,-33.0153,27.9116,56.43,73,0,5.44
190,Pasighat,IN,2022-09-07 04:02:09,overcast clouds,28.0667,95.3333,77.54,84,100,1.48
191,Quatre Cocos,MU,2022-09-07 04:02:09,broken clouds,-20.2078,57.7625,70.09,68,58,14.97
192,Gomel,BY,2022-09-07 04:02:10,clear sky,52.4345,30.9754,40.98,87,0,4.47
193,Clinton,US,2022-09-07 04:00:04,clear sky,42.587,-82.9199,64.94,81,0,1.01
194,Lebu,CL,2022-09-07 04:02:11,overcast clouds,-37.6167,-73.65,50.11,88,94,16.96
195,Hasaki,JP,2022-09-07 04:02:11,overcast clouds,35.7333,140.8333,84.29,79,100,7.92
196,New Norfolk,AU,2022-09-07 04:02:12,scattered clouds,-42.7826,147.0587,56.71,39,33,5.95
197,Khatanga,RU,2022-09-07 03:57:31,overcast clouds,71.9667,102.5,36.68,74,100,13.29
198,Poing,DE,2022-09-07 04:02:12,overcast clouds,48.17,11.8186,61.56,93,97,4.5
199,Gushikawa,JP,2022-09-07 04:02:13,broken clouds,26.3544,127.8686,85.23,62,72,11.72
200,Bahir Dar,ET,2022-09-07 04:00:31,light rain,11.5936,37.3908,58.8,92,94,2.75
201,Shu,KZ,2022-09-07 04:02:13,clear sky,43.5983,73.7614,86.76,12,0,5.64
202,Paysandu,UY,2022-09-07 04:02:14,clear sky,-32.3214,-58.0756,55.6,87,0,8.14
203,Hofn,IS,2022-09-07 04:02:14,broken clouds,64.2539,-15.2082,52.18,83,81,9.06
204,Kiunga,PG,2022-09-07 04:02:14,overcast clouds,-6.1219,141.2906,90.36,56,98,0.89
205,Ponta Do Sol,PT,2022-09-07 04:02:15,scattered clouds,32.6667,-17.1,70.72,77,34,1.86
206,Tahta,EG,2022-09-07 04:02:15,clear sky,26.7693,31.5021,79.41,42,0,5.28
207,Omsukchan,RU,2022-09-07 04:02:15,few clouds,62.5333,155.8,56.64,44,15,10.31
208,Sitka,US,2022-09-07 04:02:16,moderate rain,57.0531,-135.33,50.63,92,100,7.23
209,Isangel,VU,2022-09-07 04:02:16,overcast clouds,-19.55,169.2667,72.18,91,100,5.91
210,Berdigestyakh,RU,2022-09-07 04:02:16,light rain,62.0989,126.6992,51.58,67,81,4.56
211,Sao Joao Da Barra,BR,2022-09-07 04:02:17,broken clouds,-21.6403,-41.0511,67.41,64,66,11.79
212,Qianan,CN,2022-09-07 04:02:17,clear sky,44.9932,124.0581,73.69,41,4,14.92
213,Talara,PE,2022-09-07 04:02:18,broken clouds,-4.5772,-81.2719,63.59,89,52,16.51
214,Kayerkan,RU,2022-09-07 04:02:18,overcast clouds,69.3497,87.7602,32.52,100,100,10.65
